Country,Currency,Date,Exchange_Rate,Base_Currency,Timestamp
KNA,XCD,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
KOR,KRW,202512,0.0006814774430966,USD,2026-01-18T11:15:50.516731
KOS,EUR,202512,1.170871428571428,USD,2026-01-18T11:15:50.516731
KWT,KWD,202512,3.272876039819991,USD,2026-01-18T11:15:50.516731
LCA,XCD,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
LIE,CHF,202512,1.254603948417855,USD,2026-01-18T11:15:50.516731
LSO,LSL,202512,0.0593325000004598,USD,2026-01-18T11:15:50.516731
MAC,MOP,202512,0.1247786893970182,USD,2026-01-18T11:15:50.516731
MDV,MVR,202512,0.0648616981211031,USD,2026-01-18T11:15:50.516731
MEX,MXN,202512,0.0552266501723071,USD,2026-01-18T11:15:50.516731
MKD,MKD,202512,0.0190278663102113,USD,2026-01-18T11:15:50.516731
MLI,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
MNE,EUR,202512,1.170871428571428,USD,2026-01-18T11:15:50.516731
MNG,MNT,202512,0.0002817549697414,USD,2026-01-18T11:15:50.516731
MSR,XCD,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
MUS,MUR,202512,0.0216131632809646,USD,2026-01-18T11:15:50.516731
MYS,MYR,202512,0.2443860633293158,USD,2026-01-18T11:15:50.516731
NAM,NAD,202512,0.0593323919260481,USD,2026-01-18T11:15:50.516731
NCL,XPF,202512,0.0098119060448433,USD,2026-01-18T11:15:50.516731
NER,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
NOR,NOK,202512,0.0988142292490118,USD,2026-01-18T11:15:50.516731
NRU,AUD,202512,0.663733333333333,USD,2026-01-18T11:15:50.516731
NZL,NZD,202512,0.5778361111111112,USD,2026-01-18T11:15:50.516731
OMN,OMR,202512,2.600780234070221,USD,2026-01-18T11:15:50.516731
PAN,PAB,202512,1.0,USD,2026-01-18T11:15:50.516731
PER,PEN,202512,0.2974107767669699,USD,2026-01-18T11:15:50.516731
PHL,PHP,202512,0.0169926903110512,USD,2026-01-18T11:15:50.516731
PLW,USD,202512,1.0,USD,2026-01-18T11:15:50.516731
POL,PLN,202512,0.2772925158749965,USD,2026-01-18T11:15:50.516731
PYF,XPF,202512,0.0098119060448433,USD,2026-01-18T11:15:50.516731
QAT,QAR,202512,0.2747252747252747,USD,2026-01-18T11:15:50.516731
ROU,RON,202512,0.2300278333678375,USD,2026-01-18T11:15:50.516731
SAU,SAR,202512,0.2666666666666667,USD,2026-01-18T11:15:50.516731
